	pid	text	explanation	target_of_sarcasm
515	915260020111093761	'obamas first year in office had <num> major shootings ? trump has <num> major shooting his first year . gun control must work .  # alexjones'	the author doesn't believe that gun control would work since obamas first year in office had <num> major shootings and trump has <num> major shooting his first year.	gun control not working
516	886067834408886274	'storm of the year .... that was a huge downpour really '	it wasn't the storm of the year, that was a little rain.	little rain
517	849724081339551744	'really impressed w / trouble <user> went through to fix my order when they sent me a 2oz tube of zit cream instead of a 4k kodi box '	the author is pissed at <user> since they didn't go through any trouble to fix her order when they sent her a 2oz tube of zit cream instead of a 4k kodi box.	bad customer service
518	891804187935334400	'<user> lucroy walking away during celebration ... obviously getting traded '	lucroy walking away towards the kids during celebration doesn't mean he's getting traded.	lucroy
519	892915508579848192	not # breakingnews : tomorrow 's forecast is for more _____ . # 4letterword  # rainesville	it's obvious that tomorrow's forecast is for more rain.	news for stating obvious
520	889015287776989184	'this is the your <user> well done usa  . <user> <user> <user> <user> <user> <user>'	The people of the USA have no trust in their own president, making him go for a dummy run, before he meets the queen so he does not embarrass the entire nation	president of USA
521	939626966214311936	'who can easily pass through this door ... # easy # pass # throughyoureyes # doordonotthereisnotry  # funny # entertainment # entertaining # blogsbar'	this door is too narrow to pass through it.	door for being narrow
522	864576925334949889	oh look  another chat closed . this is fun . wish mother 's day had been this fun for my grandmother ...  <user>	they delivered the wrong flowers and then didn't take the complaint and closed the chat, this isn't fun.	bad customer service
523	726660745669279744	'look at how lame they are . # baby # child # photography # photoshoot '	look at how cute they are	babies for being cute
524	445810704810326136_189024685	Virtual school is so much fun!! 0.o #school	virtual school is inconvenient.	virtual school's inconvenience
525	826520714261983232	'not all white supremacists are violent . '	white supremacists are violent.	white supremacists's violence
526	923920153024147456	'because everyone knows that being smeared and losing the election was exactly what # hillary wanted . '	everyone knows that being smeared and losing the election wasn't exactly what hillary wanted.	hillary for losing election
527	714961409692467201	'just got upgraded internet supposed to be <num> down # att # lovemyisp '	the author is disappointed because she got upgraded internet but the down speed is still low.	low speed of upgraded internet
528	875140308710936577	'twitter . a place of originality . '	twitter isn't a place of originality given such tweets.	users for not posting original tweets
529	921865752973598722	'yy598best1 sliding around auto headshotting in # pubg always great to see # cheaters having fun  <user> <user> # pubg'	it's disappointing to see cheaters having fun, sliding around auto headshotting in pubg.	yy598best1 for cheating in pubg
530	940346962234130432	if you enjoy buying a firearm component from <user> & then receive an email from them telling you they 've lowered the price $ 40.00 days later , then you 'll love doing business with them-you 'll also love never-ending wait times on their non-toll-free phone no . 	nobody would enjoy buying firearm component from <user> & then receive an email from them telling that they've lowered the price $ 40.00 days later, also nobody loves never-ending wait times on a non-toll-free phone no.	<user> for lowering prices later and never ending wait times 
531	550029854892970679_201344179	Well that looks awesome. 😐😭 #rain #pennstate #morerain	it looks awful because of rain.	huge amount of rain
532	860566597710249984	big story from <user> shame that picture isn 't of paddy lacey really ? so unlike them to be inaccurate too ...  emoji_549	that picture isn't of paddy lacey which is like <user> since they are often inaccurate.	<user> for giving inaccurate news
533	938405524751683586	'gee , <user> thanks for taking such good care of our <user> christmas cards !  # deliveryfail'	the author is pissed at <user> for not taking good care of their <user> christmas cards, the package is torn.	<user> for not taking good care of christmas cards
534	907655006676975616	i 'm glad that <user> & <user> finally raised that they have the exact same target audience ! # taylorswiftdelivery  # whatdoiwin	<user> & <user> don't have the exact same target audience.	<user> for not having same target audience
535	866026483323727874	'sure glad we had such great weather for our estate sale this weekend . '	the author is sad they had such bad rainy weather for their estate sale this weekend.	bad rainy weather
536	895823097080684544	'nothing like a full 3d body scan in your underwear first thing innthe morning to reaffirm your lifestyle choices  # mindyourmoles'	nobody likes a full 3d body scan in their underwear first thing in the morning.	full 3d body scan in the morning
537	823024629946126337	i 've decided i 'm only using floppy disks from now on . each can hold a whopping <num> kb ! # thefuture  # techhumor	nobody's using floppy disks now since each can hold just a few kb.	using floppy disks
538	932936496532746240	'<user> and what are you two other customs line are doing ? thats right , its bloody closed . way to go giving a great impression of your capital city ! '	<user>'s two other customs lines are closed, it gives a bad impression of the capital city.	<user> for bad management 
539	867018836071067648	because the daily mail isn 't biased  # terriblepaper # biased	the daily mail is biased against jeremy corbyn.	bias of daily mail
540	865717803906732032	'hey <user> , you were right , this looks exactly like iraq .  # wreckem ΓÇô at ttu - dan law field'	this field doesn't look like iraq.	<user> who thinks this is iraq
541	1035037775707172717_1449452234	Thank god! @rebelcircus #rebelcircus #meme #bitchyquotes #funny #bitchy #funnyquotes #sarcasm #sarcastic	you don't need to post every detail of your day since no one wants to know if all your laundry was done or not.	people who post every details of their day
542	938413706009911296	<user> thanks for making my mom 's gift so special !  this has happened the last two times i have ordered .	the author is disappointed with <user> since the food in the package is ruined which was a gift for her mom.	<user> for ruining package
543	908737738324799490	'my mind is at ease now these two are working together to fight terrorism ! '	the author's mind wouldn't be at ease just because these two are working together to fight terrorism.	trump and theresa may working together
544	761245397209743360	they 're asking money for their work , how dare they ! ! ! ! # appstorereviews  # appstore	they're asking money for their work, nothing wrong in it.	people who want the work for free
545	830073554435719168	isn 't it cute - marching and shouting death to america earlier today . how dare the president ban these people .  # smh	marching and shouting death to america, it's justified that the president ban these people.	people who march and shout death to america
546	823591741886447619	'. <user> is another upstanding individual trying to get women to learn their place .  # trumptrain'	<user> isn't an upstanding individual since he's trying to get women to learn their place.	<user> for being sexist
547	824056696486195206	'road looks great .  # holdmybeer'	the road doesn't look great, it's covered with snow.	bad road
548	856867609425399810	'who knew weathering could be so boring ? ! i just had to interview two puppies today .  # puppies'	the author had fun weathering with two puppies today.	weathering with puppies
549	901066687021240320	'<user> <user> i am so offended by these products now - time to pull them from the shelves ! '	these products aren't offensive, no need to pull them from the shelves.	these products being offensive
550	875311896877973504	reading comments i made on my novel while writing it . they 're super helpful .  # amediting # amwriting # amwritingfantasy # writerlife	the comments the author made on her novel while writing it aren't helpful since there's no explanation.	author's comments made on novel
551	793935171980591108	this is the best bed i 've ever slept on .... 	the author doesn't like this bed, it's narrow.	narrow bed
552	832137516497108992	'i really love hospitals '	nobody loves hospitals.	hospitals
553	875721097815220225	'<user> great service you provide '	<user> provides a poor customer service.	<user>'s bad service
554	915120338421321728	'<user> from kentucky seems nice . '	<user> from kentucky doesn't seem nice, given such apocalyptic warnings of bloodshed.	<user> from kentucky
555	937633839949733888	'new dvds have arrived in store , what a great selection ! '	there isn't much variety in movies.	variety in dvds 
556	913412906242453504	'my <user> 4g speed test results ! the power of true 4g .. .. i am truly mesmerized with the speed i am getting .  emoji_15 emoji_15'	the author is disappointed with the low speed he's getting.	low speed 
557	919271804895678465	'looking forward to being blown away . what with having a cold and being made single , october is shaping up just fine for me '	the author isn't looking forward to being blown away. october isn't shaping up fine for him since he's having a cold and being made single.	hurricane ophelia
558	913487627063570432	'<user> donut for lunch today # cleaneating # healthy '	donut for lunch isn't healthy.	donut for lunch
559	730901194265104384	'just love what texas weather does  emoji_145 emoji_145 emoji_145 emoji_145 emoji_145'	the author hates that texas weather broke this.	texas weather
560	694168663902044161	"'thanks for "" trashing "" the office <user> . you are a monster ! '"	the author is pissed at <user> for trashing the office.	<user> for trashing the office
561	816869397221131545_4224144	Yay for #crosscountry in the #rain! #iloveoregon #supportivemom #trackmeet #rainorshine	it's not exciting to have rain on a day of crosscountry match.	rain 
562	810934821639884800	'smashing service as usual ! such good money spent ! love my commute !  <user>'	the author is pissed at <user> for such terrible commute service.	<user>'s terrible commute service
563	938616699087044608	'this should end well ... '	humans teaching robots how to use guns won't end well.	humans for teachings robots to use guns
564	859110870151872512	i 'm sure the private sector couldn 't do any better ... 	the private sector can do better providing clean water.	private sector
565	875507422437154816	can 't wait !  emoji_3245 emoji_206	it's a bad weather.	bad weather
566	825274896330653696	good to know that # marital # rape isn 't a thing . 	marital rape is a crime.	marital rape being crime
567	475552014662259657_289417707	what a wonderful ending to such a great day😁 #ihateyou #frickyou #pulledover	the author got pulled over by cops which wasn't a wonderful ending to such a great day.	author being pulled over by police
568	734214314509389825	don 't worry carter . i wasn 't reading that book or anything . # cats # fatcat # reading # books # considerate 	the author was reading that book and she got interrupted by her cat.	cat which is interrupting
569	935320976614715392	'when your wife orders a <user> shirt in xl & i end up with this ? ? ! thanks <user>  wrong team wrong size'	the author is disappointed with <user> for getting wrong team wrong size shirt.	<user>'s wrong delivery
570	724375459366993920	'thanks for the great looking big mac <user>  # dissapointing # hungry'	the author is pissed at <user> for such unappealing big mac.	quality of <user>'s big mac
571	889496436714467328	'<user> new approach to # healthyeating ! ! # junkmail  # cleaneating # healthyfood # eatclean # nutrition # gethealthy # iqs # sugarfree'	a chocolate pizza is a new approach to unhealthy eating.	healthiness of chocolate pizza
572	847242901000040448	'hey ! western nationalists ..... give up coffee ... thats the drink terrorists introduced to your kind ...  ...'	terrorists hadn't introduced coffee to western nationalists.	coffee being a muslim drink
573	710050273113276417	parenting . it 's basically a day off . # hubris 	parenting is like a full day of work in itself.	difficulty of parenting
574	919360765621968897	'great game to be celebrating out <num> consecutive sellout .  # nuvsosu'	This game is not a sellout, there are numerous seats empty at the back	empty seats at the back
575	902654506093117441	'100 % open-house ready . '	open-house isn't ready, things are spread all around.	readiness of the open-house
576	859553665232900096	well , this isn 't at all claustrophobic .  hankyou # propstothosewhoserve	there's little space inside the plane, it's claustrophobic.	little space inside the plane
577	697013893822939136	'plain text passwords ... cool . '	the author is disappointed with the plain text passwords, they should be encrypted or hidden.	passwords being plain text
578	701288966360662016	'i think the cats might be having a hard time settling in to the new apartment . what do you think ? # catlife '	The cats are already pretty comfortable in the new apartment 	cat's comfortness in the new apartment
579	839115018054549504	'so you came up with # thehungergames for pharmaceuticals ? this will end well ..... (  )'	if trump came up with the hunger games for pharmaceuticals then it will not end well.	trump's plan for pharmaceuticals
580	730125184498343938	'<user> i hope you like my photo editing skills , please put in video '	these are some terrible photo editing skills.	author's photo editing skills
581	935224883683790848	'top quality advertising !  this makes me uncomfortable for a couple of reasons . who can guess why ? # smdh # wishadfail'	it's a bad quality advertising placing such an ad next to a baby product.	bad quality advertising
582	919452142326358016	'halfway mark to my ed . d and this is my reward .... statistical analysis for educational leaders #  ΓÇ¥ joy ΓÇ¥  # oyvea'	the author's sad that she's halfway to her ed and this is the reward she gets, statistical analysis for educational leaders.	reading statistical analysis for educational leaders
583	697452549809446912	'oh wow ! thank u so much <user> you must really want me back . <num> whole days ? ! what an offer !  icymi'	the author isn't impressed with <user>'s such cheap offer of free use for 7 days to get her back to using their platform.	<user>'s offer
584	816491598133465088	'so this layout really works apple , really and truly .... top notch . '	this layout from apple doesn't really work for the author.	apple's layout
585	711813339068932096	'lovely weather for easter saturday # ukweather '	terrible weather with a lot of rainfall for easter saturday.	rainy weather
586	885309577654407169	thanks blizz , i didn 't know that getting their health to <num> is how to kill them ! 	it's obvious that getting their health to <num> is how to kill them.	obvious information
587	892520017757061120	given grass was almost a foot high b4 they cut it i 'm assuming <user> intends to bale it now . # yqr 	grass should be cut b4 they're almost a foot high.	cutting of the grass
588	1045125498892841172_284738451	Arrow is just chilling on a lawn on fourth street. I only have 7 more dogs to walk today. Take your time buddy. #sarcastic #dogs #rescuedog #doglove #dogwalker #dogoftheday #dogsofinstagram	the author has 7 more dogs to walk today so doesn't want arrow to take a long time on a lawn.	dog for taking long time to walk
589	932406343801229312	'thanks google photos for the notification that a stylized photo was available of my totalled truck . '	it's insensitive of google photos for the notification that a stylized photo was available of the author's totalled truck.	google photos notification
590	892760686757117952	because if there 's anything rich corporations love to do , it 's just willingly giving their workers great pay & benefits .  # 1u	rich corporations don't love to willingly give their workers great pay & benefits.	rich corporation's treatment of their workers
591	716577372598898688	'no , i am not depressed . '	someone who is depressed would say such a thing.	author being depressed
592	1034667950501956442_353437465	When your out and having the best time of your life !!! ... #sarcastic  #iphone6 #robross #dancer #dance #hiphop #StreetDance #performer #teacher #choreographer #followme  #follow #twitter @Robonlyross #selfie @robonlyross #second2none #s2n #swag #newera #urban #bboy #breakdance #positive #uk #snapback #instagood #instadaily #streetography #iphone #instamessage #like4like	the author doesn't seem to be having fun.	author not having fun
593	919368805620609024	'yep .... trump is doing awesome things for the us . '	trump isn't doing awesome things for the us, he's playing golf while people are facing scarcity of water.	trump's presidency
594	932332998590046208	'<user> thanks to whoever decided this was a good time to show stats . '	the author is pissed at whoever decided this was a good time to show stats, it leaves less space for the game.	<user>'s timing of showing stats
595	900802739265052672	thank you <user> . we weren 't planning on taking care of our luggage anyways ... 	the author is pissed at <user> for damaging the luggage.	<user>'s bad customer service
596	918592509638512640	<user> <user> i like your how your online agents remembers names ! # epicfail  # whosderick ? i 'm ray !	the author doesn't like how <user>'s online agents don't remember names.	<user>'s online agents not remembering names
597	793932813279952897	top story . glad to see he 's safe in custody . 	the person who killed two policemen is in the custody of the police, he should be punished.	action taken against the person who killed two policemen
598	823986290601234432	'wait does this mean the vicious weather is over ? # rainforfourdays # itdoesraininca # noarcneededafterall '	this doesn't mean the vicious weather is over, it might still rain.	vicious rainy weather
599	897604412478300160	'<user> absolutely loving the new # crappylids  # fail'	the author hates <user>'s new crappy lids because they fail.	crappy lids
600	914049964841500673	apparently it 's international coffee day . as you can see i am not a fan .  # internationalcoffeeday # biggerthanmyface	apparently it's international coffee day and the author is a fan.	author who is a fan of coffee
601	928684101996912640	'generically interdisciplinary , very quick review turn-around , and you can stack your reviewers ... what could * possibly * be questionable about this ?  # academicwriting'	it's questionable that you can stack your reviewers.	questionable journal
602	863813399720755200	'even # google is useless , now a days  emoji_97'	google isn't useless, idk means i don't know.	word idk 
603	906332520941322240	'<user> it seems our cities are making best use of the generated power .  # pune'	the cities aren't making best use of the generated power, these lights aren't needed in daytime.	street lights in daytime
604	730136171913699328	'thanks to the driver of this minivan <num> the immense depth of ur considerate personality & parking ability !  emoji_84'	the author is pissed at the driver of this minivan for the immense depth of his inconsiderate parking, leaving so little space in between.	driver for bad parking
605	693494117452480512	'cancelled flight + <num> staff ( who were amazing ) + $ 10 \\ food = amazing service from # aircanada  # theworst'	the author's flight was cancelled, there were a handful of staff and it was $ 10 \\ food, these is a bad service from aircanada.	aircanada for bad service
606	898285049640091649	'banning guns would have totally stopped both of these attacks , right ? '	just banning guns wouldn't have totally stopped both of these attacks.	banning guns
607	893226799311843330	"'sure looks "" like the superfriends "" to me '"	they don't look like the superfriends since they are fighting.	people who are fighting
608	689446393040142336	"'"" <user> : i have a crazy suggestion , how about tax relief ? <user> "" that \'s amazing ! # cndpoli '"	tax relief is a sensible and not a crazy suggestion.	tax relief
609	928621097356054528	go to <user> # devops talk they say , it 's going to be fun they say . full house . # devops is so popular on # devoxx # devoxx2017  emoji_5175	the author didn't enjoy <user> devops talk and it's not full house.	empty <user> devops talk
610	899939650739068930	'good to see that the <user> will be in good hands with this delightful fella . another great pick by <user> . '	the <user> won't be in good hands with this awful fella who thinks sexual orientation's a choice, another stupid pick by <user>.	the person picked by <user>
611	877143186099011584	'soooo another lovely commute . thanks mta for your planning efforts .  no f train at 74th # roosevelt 835a . <user> <user> <user>'	due to lack of mta's planning efforts, there's no f train at 74th roosevelt.	mta for lack of planning efforts
612	731932213260980224	it 's another beatiful day  jaja	It's another gloomy, overcast day	gloomy and overcast weather
613	865967076472532993	'ooo .. i thought wifi will keep us alive  think .. where are we heading ? ? # savetrees # saveearth # smilemore # livehealthy emoji_97 emoji_15'	wifi doesn't keep us alive, it's great that trees produce the oxygen we breathe.	saving trees
614	866380137213964288	'when you turn the hud off . great broadcasting today <user> '	the author didn't like the bad broadcasting today by <user>.	<user> for bad broadcasting
615	705910996775407620	'this  # funniestquoteoftheday emoji_19 emoji_19'	it's not funny that one's ex sleeps with everybody.	ex who sleeps with everybody
616	825608129413074946	if umass basketball keeps losing , they 'll be assured of the #  1 pick in next year 's recruiting class # tankforporter # trusttheprocess 	if umass basketball keeps losing, they'll not get the #1 pick in next year's recruiting class.	umass basketball for losing
617	923645799568953346	'my cup over floweth . i guess that means i ΓÇÖ m off the rest of the year ? '	this doesn't mean the author's off the rest of the year.	taking the rest of year off
618	900157045814566912	thinking well , if trump 's white nationalist built wall isn 't a bad idea <num> # phoenixrally # trumpinphx # bannonfilms # tuesdaythoughts  emoji_549 emoji_366	trump's white nationalist built wall is a bad idea.	trump's white nationalist built wall
619	867535889232220160	oh really ? only 208m pro-suicide attack # muslims ? that 's ok ...  # idiots	208m pro-suicide attack muslims is a huge number of people, that's not ok.	208m pro-suicide attack muslims
620	904261567960801280	'good morning # sunday  emoji_15 emoji_15'	dreams don't belong in a garbage can.	dreams not belonging in garbage
621	900681156059942913	'nothing more enjoyable than a 6am alarm for a required dji update before an all day drone shoot .  # dji # drone # dronestagram # photog ΓÇª'	nothing more displeasing than a 6am alarm for a required dji update before an all day drone shoot.	6am alarm for a dji update
622	862389454945824768	it 's always great to see no one manning the first class check in <user> in # detroit 	the author is pissed at <user> to see no one manning the first class check in.	<user> as no one is manning the first class check in
623	718812676433059840	laws don 't apply to wealthy !  rt <user> : my dad went to panama and all i got was this lousy t-shirt .	laws do apply to wealthy.	laws for wealthy people
624	698340605559177216	are there folk singers in the house ? i can 't tell .  # obvi # eac	looking at the instruments, it's obvious that there are folk singers in the house.	existence of folk singers
625	857637460666404865	'thanks <user> . no fries , no extra gravy . i love this $ 7.50 half a meal . '	the author is pissed at <user> for no fries, no extra gravy in this $ 7.50 half a meal.	<user> for bad meal
626	881491192877383685	great job <user> i guess damaging only <num> golf clubs from <num> isn 't bad ....  # toflytosnap	the author is pissed at <user> for damaging <num> golf clubs from <num>.	<user> for damaging golf club
627	821006102598778881	'<user> u r the best ever brand ! i truely beleive that it is u who should be the face of all products !  # modi # beingsarcastic'	he isn't the best brand, he shouldn't be the face of all products.	<user> for branding himself
628	793902564471373824	'so sorry to see <user> and his stable of stolen image bots unfollow me en masse ears '	the author isn't bothered to see <user> and his stable of stolen image bots unfollow her.	unfollowing her
629	900701110062731265	'stay classy sir . why bother even trying to be presidential or trying to unite our country . # trump  # resist'	trump should try to be presidential and unite country.	trump for not being presidential 
630	839917962677084160	how 's my diet going ? # fit # fitgirl # diet # diets # eggs  # truth # life	the author's diet isn't going well, she's having high calorie cadbury eggs.	author not following diet 
631	856255510072479745	'# schooldinners are getting more and more # exciting  # conwy # firstdayofthenewmenu'	this school diner is boring.	school dinner menu
632	834197821385490437	'colorado sunsets ... yuck . # cowx # 4wx # colorado '	colorado sunsets are beautiful.	beauty of colorado sunsets
633	924922540874715136	'when <user> have a sale # dealstobehad # whentheyaregone # blackfridaydeals '	it isn't a sale since prices are same as before.	losing the deal to be had
634	851481722734694401	'what i like about chelt is how we get things done quickly & efficiently  # cheltenhamproblems st . georges pl businesses , i feel <num> you .'	the author hates how chelt doesn't get things done quickly & efficiently because 18 months is a long time.	speed at which things are done
635	736215079683661824	sure glad the city doesn 't spray weeds anymore  # yxecc # yxe every piece of city property is overrun	They still spray weeds on every piece of city property	spraying weeds on city property
636	910512391049195522	'1st snow of the ΓÇÿ 17 season . thank you , mothernature .  emoji_543 emoji_75'	there isn't much snow of the '17 season.	no snow
637	886187189217918976	don 't ya just love spending Γé¼ 61 just to stand in a queue for <num> mins to slide for <num> seconds ...  # hatequeuing # aqualand	the author hates spending $61 just to stand in a queue for <num> mins to slide for <num> seconds.	queue for sliding in aqualand
638	860127170638884865	'some banks feeling bad  that they charge u frivolous fees to look after ur hard earned , after tax money .'	it's justified that some banks charge you fees to look after your hard earned, after tax money.	bank charging fees 
639	822586646126333952	'. <user> right . low turnout . # idiot . # cnn / # bakari = # fakenews emoji_19 emoji_19'	it's a high turnout.	<user>'s fake news
640	562869264923674843_355059273	My beautiful drive to work... Look at those colors! #foggy	the author drove to work in a foggy weather.	foggy weather
641	816882510286057472	this can 't go wrong # maga  # wearestillatwarwith'terrorism '	trump's plan of revamping us spy agency won't go right.	trump's plan
642	880180717174632449	hey <user> - could you possibly make your logo a bit bigger ? it doesn 't quite full the entire top edge of my screen . 	<user>'s logo is quite big and full the entire top edge of the screen.	size of <user>'s logo 
643	807000146848477184	'nothing says merry # christmas better than a card from your divorce lawyer ! '	a christmas card from your divorce lawyer doesn't feel merry.	card from divorce lawyer
644	884245308225589248	'work on my new track is zipping right along  # procrastinator # fidgetspinner # hardstyle # trancefamily emoji_15 emoji_15 emoji_15'	work on his new track isn't zipping along since the author's procrastinating with a fidget spinner.	author's procastination
645	888669258766364676	'<user> <user> <user> the first recommendation of a # bollywood # song is # wow . # paid # perception # people # wtf '	<user> <user> <user> the first recommendation of a # bollywood # song is crap, these all are paid	<user>'s recommendation of bollywood song
646	257749986692610896_49137861	My last day to sleep late and I'm up at freaking 7. This is going to be a wonderful day!	the author isn't going to have a wonderful day since she slept late and woke up early at 7.	author waking up early
647	925334343534415874	'hey , pudgydemon , the whole world is totally with you .... totally ...... # catalonia # catalunaesespana # legohead # puigdemont '	the whole world isn't totally with pudgydemon.	pudgydemon
648	600140322936338343_202205140	#crab #moregrub #afterthanksgiving because I didn't have enough food yesterday	the author had enough food yesterday but he can't resist crab.	author's appetite for food
649	860792038735962112	'thanks <user> , this is the exact condition i expect the post to arrive in .  # allthesarcasm # royalfail'	the author didn't expect the post to arrive in such torn condition.	<user>'s bad delivery of post
650	917907958142504961	'oh , ΓÇ£ only ΓÇ¥ 600 ? well , i suppose that makes it okay then ....  # apartheid'	just 600 being built out of 3800 new settlement homes doesn't make it okay.	netanyahu for only building 600 homes 
651	725711642315513858	i can 't see your promotional graphic for the eighties , <user> , it 's too small ! 	the promotional graphic for the eighties is so big that it covers almost half the screen.	<user>'s promotional graphic for eighties
652	851358234191568896	'awesome holidays ... '	the author's working on holidays instead of having fun.	working on holidays
653	926535994274402304	'i dunno about you , but i ΓÇÖ m sure gonna miss the northam / gillespie tv spots . this is our last weekend to ΓÇ£ enjoy ΓÇ¥ ΓÇÿ em . '	the author doesn't enjoy the northam / gillespie tv spots.	northam / gillespie tv spots
654	850575050554081280	# trump thought bombing # syria would make him look decisive and having emperor-like powers ... aight donald , you 're halfway there ! 	it's stupid that trump thought bombing syria would make him look decisive and having emperor-like powers.	trump for bombing syria
655	829482273435217920	'shame my city is so ugly . # chicago  # lovethiscity'	this city is beautiful.	chicago's beauty
656	936937050133225472	'excellent work once again by <user> ... 4 carriages on rugby day .... oh no wait it ΓÇÖ s coming out of town ! ! the last train going in had <num> carriages and it was pack so didn ΓÇÖ t stop # excellentwork  # absolutejoke # walesvsouthafrica'	it's an awful work by <user>, the last train going in had <num> carriages and it was pack so didn't stop.	<user>'s less number if carriages
657	864900452281987072	'my # snapchat is a boring as my tweets . cambridgegirl 7 # humblebrag  <user> # music'	the author's snapchat is as exciting as her tweets.	author's snapchat
658	869187578179858432	'hahaha , joking about rape by soldiers under your command , during martial law . gets me every time . # duterte  # justtobesafe emoji_15'	joking about rape by soldiers under your command, during martial law, isn't funny.	duterte for joking about rape
659	782727952169574400	'nice half and half pizza <user>  # fail'	This wasn’t supposed to be a half and half pizza, this is a fail	<user>'s half and half pizza
660	906361761363832833	'# studying for a test <user> my # sdit is really a big help  # collegelife # working4thegpa'	the author is studying for a test and her dog isn't helpful sitting on her notes.	dog's interruptions
661	817206754400301059	'<user> <user> wonderful initiative # shivajimemorial guess we cld do with 1in each direction . who farmers & their woes ? '	it's a terrible thing to spend money on unnecessary things when there are so many farmer suicides due to lack of money.	<user>'s spending of money
662	701034500361363456	yeah . we aren 't spending enough on military . # military 	USA is spending a great deal on military.	usa's military spending
663	706531433272094720	'<user> , how could i pass up such a fantastic saving on the <user> millennium falcon . '	this isn't a significant saving on the <user> millennium falcon.	saving on <user> millennium falcon
664	1014763631131182976_2001370976	Everything you see on the interweb is real #nofilter #untag #selfiesfordays #restingbitchface #aintgottimeforthat #meme #instalike #sorrynotsorry #funny #funnypictures #fun #laugh #sarcasm #sarcastic #funnypics #lol #lmao #lolz #laugh #lmfao #nikkitcb #funday #errryday	not everything you see on the interweb is real since there are beautifying software being used.	validity of images on interweb
665	850127880029970432	'thank goodness <user> let all the kids out of school <num> minutes early yesterday .... that storm was super dangerous ! '	the storm wasn't dangerous, just a few chairs fell.	storm which was not dangerous
666	930985649028571137	i 'm super confident this guy is fighting for the poor and middle class . 	the author is confident that this guy isn't fighting for the poor and middle class.	guy with money
667	876639027876827137	'because no abuser has ever hidden who he was . they all wear signs . '	abusers hide who they are, they don't wear signs.	person supporting abuser
668	582609708142626935_335320577	Yaaay my 'new' phone really fits into my armband. #lost #phone #so #stupid #hateit	the author is pissed since he lost his old phone which used to fit into his armband and the new one doesn't.	fitting of the new phone in armband
669	801891559126040576	'of course he looks like grindewald , every little detail jaja ! best cast ever ! '	he doesn't look like grindewald, this is the worst casting ever.	actor's comparison to grindewald
670	932527132743368704	'good quality viewing here with the <user> broadband and <user> combo !  better viewing on my commodore 64 in the 90 ΓÇÖ s ! # 240p'	it's bad quality viewing with the <user> broadband and <user> combo.	<user> broadband's bad quality viewing
671	834212740705243138	'well arguing with apple over my password was fun #  '	arguing with apple over a password is exhausting.	arguing with apple
672	820258777383497728	i love that there 's black spots in my hash browns at <user> 	the author hates that there's black spots in her hash browns at <user>.	<user> for black spots in the hash browns
673	630510279385639394_9530217	Good to be back in SRQ #haha #jk #dontwantschooltostart #goodbyecivilization #thesisstress	the author doesn't feel good to be back in SRQ, don't want school to start.	starting of school
674	870089669815418880	'extra whipped cream <user> = less than normal it seems . on top of a melty sundae . so glad my kid waited 20m in line for this '	<user>'s extra whipped cream is less than normal on top of a melty sundae, the author is sad her kid waited 20m in line for this.	less amount of whipped cream
675	718102599002624000	'such a great view from the # rockefeller . love me some # impermeablepavement .  afan # needsgreenspace'	the author hates this view of impermeable pavement from the rockefeller, she likes green space.	view of cars parked from rockfeller
676	941799950345801729	'seems like a high confidence forecast for the middle of next week . '	it's not a high confidence forecast for the middle of next week.	forecast for the middle of next week
677	855241995614388226	"'enjoying my new samsung galaxy s8 + on <user> "" blazing fast "" 4g lte network # sprint  <user> <user> # fixit # creditme'"	the author couldn't enjoy his new samsung galaxy s8+ on <user> super slow 4g lte network.	slow 4g lte network
678	867745009549942784	'oh no , how terrible .  # goodriddance # celtics emoji_2563 emoji_2563 emoji_2563'	it's fine if lonzo ball will not work out for team prior to NBA draft.	lonzo ball not working out
679	848930248615972868	'this storm means business . this is going to be fun to drive in ...  # yikes # hugethunderstorm fun emoji_4780 emoji_2007'	this is a huge storm which means no business, this isn't going to be fun to drive in.	huge storm
680	687178819929767936	'yay for 40c ! god i love summer in # australia '	the author hates such a hot summer in australia.	hot summer in australia
681	894523525977055232	'delayed <user> flight dub-edinburgh . not frustrated honest  # travelwoes # dublinairport # planeproblems # sadface'	the author is frustrated due to the delayed <user> flight dub-edinburgh.	delayed <user> flight
682	710624432339812352	'menu testing with all of the duck ! this is the hard part . # toughwork  # menu # brewpub # openingsoon'	menu testing with all of the duck isn't the hard part, it's fun.	menu testing with all the duck
683	929946273477574657	'please everyone , give <user> a chance ! # donaldtrump '	<user> shouldn't be given a chance just because putin believes him when everyone else doesn't.	trump
684	695187209746583552	'awesome traffic  thanks a bunch for lovely customers '	the traffic isn't good and the customers are terrible.	customers
685	875101003259027457	'wow , some of the homes are affordable ! those <num> unaffordable homes will improve the area so much more keep the rabble out ! '	only some of the homes are affordable, those <num> unaffordable homes will not improve the area.	unaffordable homes
686	863942915780878337	it 's a shame i didn 't get anything sunset shimmer related at # efnw2017 	the author got many things like a towel, pillow case, toy that are sunset shimmer related at efnw2017.	sunset shimmer related things
687	867426593454649350	'# whetheryoulikeitornot zuma is one of the presidents that are good with numbers  emoji_15 emoji_15 emoji_15 emoji_15 emoji_15'	zuma isn't one of the presidents that are good with numbers.	zuma
688	713198772629712897	super confident that my flight won 't be cancelled .  # sadly # travel	the author is confident that his flight would be cancelled with this much snow.	snowy weather
